,state,population,medIncome,medFamInc,perCapInc,NumUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,ViolentCrimesPerPop,CrimeCategory
271,47,0.04,0.18,0.24,0.3,0.06,0.58,0.56,0.32,0.4,0.25,0.24,Low
272,12,0.0,0.25,0.3,0.39,0.01,0.19,0.33,0.24,0.22,0.62,0.35,Medium
273,18,0.04,0.19,0.21,0.19,0.05,0.33,0.54,0.13,0.51,0.37,0.27,Medium
274,25,0.0,0.51,0.49,0.34,0.0,0.11,0.27,0.25,0.46,0.67,0.13,Low
275,6,0.06,0.44,0.41,0.29,0.05,0.36,0.4,0.22,0.44,0.56,0.36,Medium
276,1,0.02,0.15,0.16,0.16,0.05,0.64,0.72,0.15,0.58,0.35,0.34,Medium
277,9,0.06,0.5,0.53,0.46,0.02,0.31,0.38,0.33,0.28,0.51,0.08,Low
278,9,0.01,0.38,0.36,0.27,0.01,0.43,0.54,0.1,0.51,0.56,0.05,Low
279,38,0.06,0.27,0.32,0.28,0.04,0.37,0.27,0.42,0.24,0.66,0.03,Low
280,48,0.01,0.11,0.24,0.19,0.02,0.3,0.4,0.44,0.46,0.37,0.03,Low
281,25,0.01,0.27,0.29,0.35,0.01,0.07,0.18,0.4,0.57,0.2,0.12,Low
282,42,0.01,0.24,0.27,0.27,0.01,0.33,0.45,0.29,0.22,0.38,0.06,Low
283,8,0.03,0.23,0.24,0.29,0.03,0.19,0.33,0.3,0.28,0.58,0.32,Medium
284,34,0.01,0.47,0.45,0.34,0.01,0.45,0.53,0.13,0.41,0.47,0.19,Low
285,48,0.01,0.27,0.27,0.25,0.02,0.33,0.46,0.18,0.66,0.38,0.14,Low
286,34,0.03,0.31,0.31,0.38,0.04,0.37,0.49,0.31,0.56,0.48,0.51,High
287,33,0.0,0.86,0.8,0.71,0.0,0.16,0.15,0.7,0.2,0.7,0.01,Low
288,48,0.02,0.22,0.25,0.24,0.03,0.4,0.54,0.29,0.39,0.45,0.59,High
289,25,0.01,0.42,0.42,0.36,0.0,0.53,0.54,0.29,0.48,0.53,0.09,Low
290,34,0.02,0.25,0.26,0.26,0.02,0.35,0.61,0.13,0.5,0.31,0.1,Low
291,51,0.0,0.23,0.34,0.23,0.01,0.24,0.26,0.7,0.28,0.18,0.09,Low
292,42,0.01,0.53,0.54,0.43,0.0,0.15,0.16,0.53,0.16,0.59,0.03,Low
293,42,0.15,0.24,0.27,0.26,0.12,0.4,0.53,0.23,0.38,0.44,0.28,Medium
294,39,0.02,0.26,0.29,0.34,0.02,0.25,0.4,0.27,0.45,0.33,0.1,Low
295,34,0.04,0.57,0.57,0.45,0.01,0.3,0.37,0.26,0.21,0.63,0.12,Low
296,6,0.67,0.33,0.33,0.36,0.64,0.39,0.42,0.37,0.41,0.53,0.67,High
297,34,0.01,1.0,0.95,0.85,0.0,0.14,0.18,0.62,0.26,0.65,0.02,Low
298,6,0.0,0.36,0.33,0.19,0.01,0.88,0.77,0.12,0.41,0.5,0.29,Medium
299,53,0.06,0.16,0.19,0.25,0.07,0.25,0.33,0.23,0.49,0.36,0.36,Medium
300,39,0.02,0.29,0.31,0.24,0.02,0.22,0.34,0.32,0.23,0.53,0.11,Low
301,1,0.0,0.15,0.18,0.2,0.01,0.62,0.72,0.16,0.19,0.47,0.03,Low
302,1,0.01,0.26,0.3,0.26,0.03,0.36,0.46,0.37,0.37,0.44,0.35,Medium
303,13,0.02,0.21,0.25,0.35,0.03,0.71,0.67,0.31,0.35,0.56,0.25,Low
304,40,0.02,0.26,0.28,0.25,0.01,0.17,0.35,0.31,0.38,0.55,0.06,Low
305,6,0.04,0.7,1.0,1.0,0.02,0.12,0.16,0.77,0.19,0.48,0.45,High
306,48,0.09,0.31,0.3,0.27,0.09,0.44,0.5,0.22,0.51,0.45,0.23,Low
307,39,0.03,0.1,0.12,0.15,0.06,0.38,0.67,0.13,0.91,0.22,0.32,Medium
308,34,0.03,0.65,0.64,0.62,0.0,0.09,0.15,0.6,0.1,0.74,0.04,Low
309,25,0.02,0.69,0.69,0.75,0.01,0.1,0.12,0.9,0.2,0.54,0.02,Low
310,29,0.01,0.37,0.33,0.26,0.01,0.45,0.49,0.13,0.34,0.63,0.16,Low
311,34,0.07,0.49,0.47,0.35,0.02,0.19,0.31,0.29,0.3,0.65,0.12,Low
312,34,0.08,0.34,0.4,0.38,0.05,0.39,0.52,0.25,0.35,0.43,0.2,Low
313,39,0.12,0.14,0.17,0.17,0.16,0.36,0.58,0.14,0.77,0.25,0.51,High
314,34,0.01,0.5,0.54,0.48,0.01,0.26,0.27,0.45,0.19,0.7,0.18,Low
315,36,0.08,0.15,0.19,0.2,0.1,0.4,0.56,0.14,0.74,0.27,0.3,Medium
316,37,0.01,0.19,0.21,0.2,0.02,0.5,0.61,0.22,0.37,0.54,0.37,Medium
317,6,0.01,0.21,0.18,0.11,0.03,1.0,0.91,0.09,1.0,0.36,0.31,Medium
318,39,0.0,0.25,0.3,0.3,0.01,0.27,0.51,0.11,0.21,0.35,0.04,Low
319,6,0.01,0.21,0.23,0.22,0.02,0.26,0.4,0.21,0.46,0.38,0.18,Low
320,21,0.0,0.18,0.22,0.19,0.02,0.54,0.56,0.21,0.24,0.5,0.48,High
321,40,0.02,0.19,0.22,0.23,0.04,0.4,0.47,0.28,0.46,0.26,0.09,Low
322,23,0.02,0.28,0.3,0.25,0.02,0.66,0.58,0.15,0.39,0.52,0.07,Low
323,48,0.09,0.18,0.15,0.15,0.08,0.17,0.23,0.22,0.64,0.59,0.27,Medium
324,6,0.08,0.48,0.46,0.34,0.05,0.19,0.29,0.22,0.41,0.61,0.3,Medium
325,4,0.02,0.11,0.1,0.09,0.05,1.0,0.92,0.11,0.96,0.3,0.34,Medium
326,19,0.0,0.16,0.2,0.2,0.01,0.49,0.42,0.24,0.42,0.38,0.07,Low
327,47,0.04,0.44,0.41,0.37,0.01,0.18,0.27,0.33,0.18,0.71,0.17,Low
328,34,0.01,0.37,0.38,0.26,0.02,0.29,0.41,0.34,0.53,0.45,0.17,Low
329,6,0.04,0.35,0.33,0.29,0.05,0.51,0.5,0.34,0.38,0.45,0.34,Medium
330,39,0.05,0.43,0.39,0.31,0.01,0.14,0.26,0.28,0.25,0.71,0.07,Low
331,48,0.04,0.43,0.43,0.39,0.02,0.11,0.22,0.35,0.32,0.68,0.35,Medium
332,34,0.03,0.91,0.93,0.88,0.0,0.13,0.13,0.88,0.13,0.63,0.04,Low
333,34,0.04,0.14,0.21,0.23,0.08,0.55,0.74,0.13,0.65,0.37,1.0,High
334,48,0.01,0.16,0.19,0.17,0.03,0.42,0.5,0.21,0.43,0.38,0.48,High
335,42,0.06,0.6,0.6,0.53,0.01,0.15,0.2,0.61,0.12,0.54,0.03,Low
336,49,0.12,0.16,0.14,0.11,0.21,0.08,0.15,0.56,0.35,0.39,0.07,Low
337,39,0.03,0.6,0.58,0.44,0.01,0.08,0.12,0.65,0.1,0.7,0.05,Low
338,9,0.07,0.4,0.41,0.37,0.03,0.29,0.44,0.26,0.32,0.58,0.12,Low
339,48,0.0,0.43,0.4,0.31,0.01,0.1,0.19,0.38,0.31,0.6,0.04,Low
340,34,0.11,0.48,0.48,0.42,0.03,0.24,0.36,0.32,0.29,0.47,0.08,Low
341,39,0.0,0.45,0.44,0.37,0.0,0.31,0.39,0.25,0.2,0.39,0.1,Low
342,25,0.0,0.59,0.49,0.44,0.0,0.02,0.02,0.69,0.03,0.95,0.0,Low
343,36,0.04,0.3,0.31,0.26,0.02,0.25,0.34,0.23,0.34,0.54,0.04,Low
344,55,0.01,0.26,0.28,0.27,0.01,0.3,0.36,0.17,0.24,0.59,0.02,Low
345,55,0.14,0.25,0.29,0.27,0.11,0.31,0.32,0.26,0.32,0.56,0.18,Low
346,53,0.81,0.29,0.38,0.45,0.56,0.17,0.21,0.62,0.28,0.57,0.58,High
347,8,0.08,0.2,0.25,0.22,0.1,0.41,0.4,0.4,0.34,0.52,0.08,Low
348,34,0.0,0.54,0.57,0.56,0.0,0.21,0.34,0.35,0.25,0.54,0.04,Low
349,53,0.02,0.1,0.33,0.14,0.05,0.04,0.02,1.0,0.28,0.24,0.09,Low
350,9,0.0,0.58,0.6,0.53,0.0,0.19,0.22,0.51,0.14,0.63,0.06,Low
351,39,0.02,0.26,0.28,0.31,0.02,0.22,0.35,0.38,0.36,0.47,0.08,Low
352,46,0.02,0.18,0.24,0.23,0.03,0.49,0.38,0.36,0.18,0.57,0.08,Low
353,39,0.01,0.39,0.36,0.28,0.01,0.16,0.37,0.17,0.28,0.63,0.1,Low
354,49,0.09,0.32,0.29,0.16,0.05,0.08,0.15,0.49,0.24,0.57,0.03,Low
355,36,0.01,0.2,0.25,0.2,0.02,0.33,0.42,0.27,0.43,0.33,0.28,Medium
356,25,0.06,0.46,0.46,0.41,0.02,0.31,0.35,0.33,0.31,0.58,0.06,Low
357,34,0.01,0.57,0.55,0.48,0.0,0.28,0.39,0.3,0.33,0.53,0.04,Low
358,18,0.01,0.15,0.19,0.17,0.02,0.32,0.52,0.09,0.65,0.38,0.03,Low
359,40,0.0,0.41,0.38,0.26,0.0,0.14,0.28,0.19,0.24,0.73,0.07,Low
360,1,0.02,0.24,0.26,0.25,0.03,0.35,0.39,0.37,0.32,0.5,0.41,High
361,29,0.02,0.29,0.29,0.29,0.01,0.31,0.39,0.26,0.41,0.5,0.22,Low
362,1,0.41,0.13,0.15,0.17,0.59,0.36,0.53,0.25,0.62,0.33,1.0,High
363,41,0.0,0.25,0.25,0.21,0.01,0.26,0.35,0.29,0.24,0.56,0.1,Low
364,41,0.02,0.32,0.31,0.27,0.01,0.24,0.3,0.27,0.33,0.56,0.06,Low
365,18,0.15,0.21,0.23,0.23,0.13,0.31,0.48,0.29,0.51,0.44,0.45,High
366,42,0.16,0.17,0.2,0.19,0.18,0.3,0.48,0.21,0.59,0.35,0.32,Medium
367,48,0.01,0.09,0.09,0.1,0.04,1.0,0.87,0.18,0.95,0.23,0.14,Low
368,48,0.07,0.05,0.27,0.14,0.14,0.08,0.08,0.97,0.36,0.22,0.09,Low
369,29,0.07,0.42,0.41,0.33,0.01,0.27,0.33,0.25,0.17,0.59,0.07,Low
370,48,0.03,0.17,0.2,0.23,0.06,0.31,0.52,0.27,0.54,0.3,0.6,High
371,13,0.03,0.37,0.39,0.48,0.02,0.19,0.25,0.55,0.2,0.81,0.18,Low
372,55,0.01,0.39,0.39,0.31,0.0,0.19,0.26,0.33,0.11,0.78,0.03,Low
373,33,0.02,0.6,0.54,0.43,0.0,0.17,0.24,0.39,0.42,0.79,0.04,Low
374,13,0.01,0.23,0.27,0.34,0.03,0.47,0.55,0.4,0.29,0.5,0.51,High
375,6,0.02,1.0,1.0,1.0,0.0,0.06,0.05,0.9,0.12,0.53,0.83,High
376,9,0.03,0.75,0.77,0.72,0.01,0.11,0.14,0.76,0.12,0.68,0.02,Low
377,49,0.01,0.3,0.29,0.2,0.01,0.11,0.38,0.16,0.68,0.42,0.08,Low
378,34,0.02,0.58,0.58,0.71,0.02,0.27,0.33,0.56,0.31,0.6,0.26,Medium
379,45,0.01,0.35,0.36,0.38,0.01,0.2,0.3,0.4,0.18,0.59,0.23,Low
380,42,0.11,0.17,0.2,0.2,0.13,0.55,0.74,0.12,0.57,0.39,0.49,High
381,47,0.01,0.59,0.56,0.39,0.01,0.21,0.28,0.41,0.1,0.67,0.03,Low
382,34,0.02,0.71,0.69,0.6,0.0,0.15,0.2,0.55,0.1,0.64,0.04,Low
383,8,0.0,0.19,0.28,0.21,0.02,0.18,0.26,0.5,0.4,0.41,0.15,Low
384,34,0.16,0.26,0.26,0.24,0.16,0.7,0.74,0.17,0.67,0.45,0.54,High
385,48,0.0,0.17,0.22,0.18,0.02,0.7,0.63,0.24,0.26,0.34,0.31,Medium
386,6,0.08,0.5,0.48,0.27,0.03,0.39,0.44,0.17,0.33,0.38,0.39,Medium
387,48,0.0,0.21,0.26,0.26,0.01,0.41,0.46,0.27,0.44,0.36,0.43,High
388,6,0.17,0.5,0.44,0.28,0.09,0.19,0.3,0.22,0.47,0.63,0.5,High
389,39,0.01,0.57,0.57,0.52,0.0,0.09,0.12,0.61,0.24,0.62,0.03,Low
390,6,0.0,1.0,1.0,1.0,0.0,0.05,0.05,1.0,0.12,0.38,0.08,Low
391,53,0.01,0.23,0.19,0.21,0.01,0.14,0.19,0.27,0.31,0.61,0.04,Low
392,37,0.03,0.23,0.2,0.22,0.03,0.16,0.25,0.28,0.41,0.6,0.22,Low
393,48,0.03,0.2,0.2,0.22,0.05,0.46,0.52,0.28,0.35,0.49,0.58,High
394,48,0.0,1.0,0.98,0.92,0.0,0.07,0.09,0.75,0.14,0.7,0.01,Low
395,16,0.03,0.23,0.26,0.26,0.03,0.23,0.32,0.25,0.4,0.46,0.1,Low
396,48,0.14,0.07,0.05,0.04,0.39,1.0,0.98,0.18,1.0,0.19,0.39,Medium
397,42,0.01,0.33,0.37,0.34,0.01,0.32,0.44,0.29,0.19,0.6,0.09,Low
398,51,0.01,0.25,0.29,0.3,0.02,0.39,0.45,0.42,0.16,0.49,0.18,Low
399,12,0.03,0.15,0.19,0.4,0.04,0.38,0.56,0.21,0.47,0.0,0.8,High
400,39,0.07,0.18,0.22,0.23,0.08,0.38,0.53,0.19,0.58,0.28,1.0,High
401,55,0.99,0.2,0.21,0.2,1.0,0.33,0.49,0.22,0.59,0.42,0.4,Medium
402,22,0.0,0.14,0.16,0.16,0.02,0.43,0.48,0.3,0.51,0.34,0.05,Low
403,48,0.0,0.21,0.21,0.13,0.02,0.88,0.82,0.03,0.54,0.34,0.21,Low
404,6,0.01,0.22,0.23,0.21,0.02,0.63,0.65,0.18,0.69,0.35,0.68,High
405,4,0.01,0.21,0.19,0.13,0.04,0.96,0.76,0.13,0.76,0.35,0.32,Medium
406,27,0.01,0.31,0.34,0.3,0.01,0.26,0.35,0.19,0.36,0.58,0.2,Low
407,8,0.01,0.15,0.15,0.12,0.03,0.47,0.7,0.03,0.72,0.41,0.62,High
408,37,0.06,0.21,0.23,0.25,0.08,0.47,0.58,0.26,0.34,0.52,0.53,High
409,6,0.03,0.64,0.75,0.86,0.02,0.17,0.15,0.9,0.15,0.51,0.25,Low
410,12,0.04,0.12,0.13,0.16,0.1,0.63,0.77,0.16,0.86,0.2,1.0,High
411,36,0.02,0.31,0.32,0.29,0.03,0.42,0.52,0.24,0.41,0.51,0.2,Low
412,37,0.01,0.22,0.26,0.26,0.01,0.62,0.61,0.29,0.21,0.38,0.21,Low
413,24,1.0,0.21,0.21,0.23,1.0,0.51,0.69,0.24,0.61,0.35,1.0,High
414,34,0.02,0.5,0.47,0.38,0.01,0.17,0.3,0.32,0.22,0.68,0.1,Low
415,12,0.0,0.25,0.23,0.24,0.01,0.24,0.46,0.14,0.34,0.21,0.14,Low
416,18,0.0,0.29,0.3,0.25,0.01,0.32,0.42,0.19,0.24,0.52,0.01,Low
417,34,0.0,0.35,0.37,0.34,0.01,0.61,0.68,0.23,0.49,0.49,0.13,Low
418,25,0.01,0.53,0.5,0.42,0.01,0.05,0.11,0.54,0.24,0.56,0.22,Low
419,48,0.01,0.24,0.27,0.23,0.02,0.44,0.54,0.18,0.47,0.28,0.1,Low
420,1,0.03,0.12,0.18,0.21,0.06,0.48,0.58,0.28,0.79,0.22,1.0,High
421,25,0.04,0.32,0.35,0.31,0.03,0.32,0.47,0.16,0.49,0.47,0.69,High
422,34,0.01,0.46,0.49,0.45,0.0,0.37,0.46,0.25,0.26,0.48,0.06,Low
423,21,0.05,0.16,0.18,0.17,0.08,0.6,0.66,0.14,0.49,0.39,0.66,High
424,42,0.01,0.49,0.48,0.45,0.0,0.16,0.24,0.44,0.1,0.55,0.03,Low
425,48,0.01,0.22,0.22,0.19,0.02,0.31,0.51,0.09,0.33,0.56,0.16,Low
426,42,0.01,0.48,0.43,0.39,0.0,0.06,0.14,0.47,0.25,0.71,0.0,Low
427,45,0.03,0.13,0.17,0.19,0.04,0.63,0.66,0.26,0.48,0.34,0.76,High
428,48,0.03,0.24,0.25,0.23,0.04,0.62,0.55,0.29,0.36,0.39,0.71,High
429,6,0.19,0.36,0.34,0.32,0.12,0.25,0.31,0.29,0.43,0.48,0.42,High
430,44,0.02,0.38,0.41,0.39,0.01,0.29,0.42,0.32,0.47,0.5,0.03,Low
431,6,0.58,0.27,0.28,0.31,0.57,0.35,0.39,0.37,0.49,0.42,0.53,High
432,55,0.0,0.54,0.53,0.45,0.0,0.24,0.21,0.49,0.04,0.7,0.06,Low
433,28,0.05,0.11,0.14,0.19,0.1,0.45,0.55,0.24,0.63,0.28,0.18,Low
434,23,0.0,0.42,0.39,0.34,0.0,0.14,0.25,0.31,0.24,0.6,0.04,Low
435,34,0.0,0.55,0.55,0.55,0.0,0.43,0.44,0.33,0.22,0.65,0.1,Low
436,36,0.06,0.21,0.22,0.21,0.04,0.31,0.44,0.23,0.35,0.37,0.06,Low
437,9,0.01,0.6,0.63,0.58,0.0,0.18,0.24,0.51,0.08,0.69,0.04,Low
438,6,0.43,0.52,0.51,0.43,0.15,0.25,0.3,0.38,0.24,0.62,0.16,Low
439,8,0.03,0.12,0.15,0.22,0.05,0.28,0.39,0.28,0.56,0.3,0.24,Low
440,12,0.01,0.39,0.35,0.31,0.0,0.18,0.29,0.33,0.23,0.61,0.2,Low
441,47,0.03,0.22,0.25,0.25,0.04,0.54,0.58,0.21,0.36,0.45,0.35,Medium
442,5,0.01,0.14,0.15,0.18,0.03,0.72,0.7,0.16,0.44,0.36,0.04,Low
443,39,0.01,0.38,0.39,0.36,0.0,0.26,0.33,0.25,0.24,0.62,0.05,Low
444,48,0.08,0.15,0.17,0.25,0.13,0.47,0.52,0.33,0.59,0.4,0.72,High
445,47,0.01,0.24,0.29,0.25,0.02,0.48,0.45,0.34,0.32,0.42,0.06,Low
446,1,0.0,0.19,0.21,0.18,0.02,0.46,0.48,0.22,0.45,0.38,0.62,High
447,34,0.08,0.31,0.32,0.27,0.07,0.37,0.6,0.17,0.67,0.54,1.0,High
448,34,0.02,1.0,1.0,1.0,0.0,0.08,0.08,0.93,0.14,0.56,0.03,Low
449,39,0.02,0.56,0.59,0.57,0.01,0.07,0.11,0.66,0.09,0.59,0.05,Low
450,47,0.0,0.1,0.14,0.13,0.02,0.74,0.72,0.17,0.57,0.38,0.63,High
451,55,0.04,0.21,0.25,0.24,0.03,0.44,0.44,0.22,0.35,0.4,0.05,Low
452,37,0.03,0.18,0.21,0.2,0.03,0.7,0.73,0.1,0.35,0.44,0.2,Low
453,18,0.05,0.15,0.16,0.2,0.07,0.36,0.56,0.19,0.56,0.37,0.07,Low
454,48,0.15,0.1,0.15,0.17,0.25,0.45,0.55,0.26,0.55,0.27,0.64,High
455,49,0.01,0.23,0.21,0.15,0.02,0.08,0.23,0.3,0.25,0.47,0.1,Low
456,29,0.03,0.34,0.35,0.33,0.01,0.15,0.24,0.28,0.2,0.54,0.11,Low
457,12,0.03,0.15,0.13,0.16,0.07,0.79,0.79,0.12,0.45,0.46,1.0,High
458,51,0.0,0.25,0.26,0.24,0.01,0.67,0.74,0.11,0.38,0.48,0.07,Low
459,33,0.02,0.68,0.61,0.47,0.0,0.07,0.12,0.54,0.3,0.83,0.02,Low
460,13,0.0,0.16,0.19,0.18,0.02,0.83,0.89,0.12,0.8,0.27,0.55,High
461,39,0.04,0.62,0.57,0.45,0.01,0.13,0.17,0.6,0.14,0.66,0.04,Low
462,6,0.0,0.26,0.23,0.13,0.02,1.0,1.0,0.07,0.79,0.32,1.0,High
463,25,0.06,0.47,0.46,0.37,0.02,0.14,0.26,0.35,0.45,0.55,0.37,Medium
464,53,0.27,0.17,0.22,0.25,0.27,0.19,0.27,0.33,0.53,0.35,0.33,Medium
465,8,0.0,0.11,0.14,0.17,0.02,0.39,0.43,0.2,0.61,0.11,0.09,Low
466,34,0.01,0.87,0.95,0.87,0.0,0.11,0.15,0.87,0.18,0.58,0.28,Medium
467,6,0.02,0.57,0.58,0.57,0.01,0.21,0.26,0.38,0.15,0.46,0.12,Low
468,39,0.03,0.28,0.3,0.25,0.02,0.27,0.49,0.12,0.36,0.39,0.15,Low
469,34,0.0,0.38,0.37,0.31,0.0,0.36,0.56,0.11,0.31,0.53,0.03,Low
470,53,0.1,0.28,0.29,0.3,0.07,0.2,0.32,0.21,0.39,0.48,0.22,Low
471,49,0.1,0.53,0.47,0.26,0.03,0.03,0.09,0.47,0.17,0.74,0.05,Low
472,13,0.03,0.16,0.19,0.23,0.05,0.61,0.64,0.27,0.47,0.33,0.78,High
473,37,0.03,0.26,0.29,0.35,0.03,0.39,0.48,0.37,0.22,0.61,0.46,High
474,13,0.01,0.14,0.18,0.2,0.03,0.63,0.65,0.26,0.55,0.28,0.34,Medium
475,53,0.01,0.17,0.22,0.23,0.03,0.31,0.46,0.18,0.75,0.24,0.22,Low
476,55,0.04,0.23,0.25,0.21,0.05,0.28,0.48,0.16,0.55,0.47,0.14,Low
477,6,0.08,0.35,0.34,0.28,0.09,0.56,0.52,0.35,0.38,0.36,0.37,Medium
478,55,0.01,0.25,0.29,0.29,0.01,0.47,0.39,0.31,0.27,0.57,0.06,Low
479,47,0.01,0.14,0.17,0.18,0.02,0.86,0.79,0.14,0.38,0.42,0.24,Low
480,12,0.01,0.22,0.19,0.2,0.01,0.27,0.49,0.11,0.22,0.31,0.4,Medium
481,6,0.03,0.54,0.48,0.4,0.01,0.14,0.19,0.34,0.24,0.69,0.22,Low
482,21,0.03,0.09,0.14,0.23,0.06,0.5,0.54,0.22,0.48,0.21,0.69,High
483,48,0.05,0.38,0.4,0.39,0.02,0.13,0.22,0.41,0.22,0.88,0.11,Low
484,36,0.04,0.79,0.76,0.59,0.01,0.15,0.18,0.58,0.16,0.61,0.02,Low
485,48,0.73,0.23,0.29,0.31,0.73,0.27,0.29,0.56,0.39,0.62,0.25,Low
486,53,0.04,0.41,0.47,0.41,0.02,0.1,0.14,0.56,0.29,0.56,0.1,Low
487,39,0.03,0.26,0.28,0.27,0.04,0.28,0.38,0.33,0.4,0.47,0.05,Low
488,47,0.02,0.13,0.15,0.18,0.04,0.83,0.76,0.16,0.51,0.31,0.16,Low
489,34,0.01,0.44,0.44,0.36,0.01,0.3,0.41,0.14,0.18,0.52,0.04,Low
490,34,0.0,0.85,0.77,0.63,0.0,0.18,0.18,0.59,0.13,0.7,0.01,Low
491,28,0.02,0.09,0.11,0.15,0.06,0.55,0.66,0.25,0.61,0.22,0.29,Medium
492,25,0.01,1.0,1.0,0.98,0.0,0.04,0.04,1.0,0.1,0.73,0.1,Low
493,34,0.06,0.78,0.75,0.69,0.01,0.2,0.23,0.58,0.2,0.6,0.05,Low
494,53,0.02,0.1,0.11,0.1,0.06,0.85,0.75,0.12,0.79,0.36,0.36,Medium
495,35,0.0,0.07,0.05,0.09,0.03,0.88,0.79,0.16,1.0,0.0,0.22,Low
496,9,0.11,0.6,0.61,0.62,0.04,0.27,0.34,0.47,0.26,0.69,0.17,Low
497,39,0.06,0.23,0.26,0.27,0.06,0.35,0.49,0.19,0.51,0.38,0.15,Low
498,25,0.01,0.41,0.4,0.31,0.01,0.54,0.58,0.17,0.27,0.61,0.14,Low
499,6,0.25,0.23,0.22,0.19,0.33,0.43,0.56,0.19,0.73,0.34,1.0,High
500,25,0.04,0.51,0.54,0.45,0.02,0.14,0.22,0.38,0.34,0.69,0.1,Low
501,5,0.06,0.19,0.23,0.25,0.07,0.45,0.46,0.33,0.29,0.53,0.24,Low
502,34,0.03,0.52,0.55,0.5,0.01,0.27,0.34,0.45,0.3,0.53,0.12,Low
503,55,0.0,0.31,0.38,0.23,0.01,0.27,0.19,0.49,0.39,0.65,0.04,Low
504,40,0.07,0.25,0.25,0.26,0.05,0.17,0.29,0.26,0.41,0.54,0.21,Low
505,47,0.25,0.14,0.18,0.24,0.29,0.43,0.51,0.34,0.45,0.36,0.7,High
506,39,0.1,0.21,0.23,0.19,0.13,0.39,0.57,0.1,0.62,0.3,0.13,Low
507,41,0.07,0.37,0.41,0.41,0.03,0.09,0.12,0.58,0.19,0.75,0.13,Low
508,48,0.0,0.16,0.15,0.13,0.02,0.74,0.74,0.08,0.64,0.41,0.24,Low
509,23,0.0,0.19,0.22,0.21,0.01,0.44,0.42,0.25,0.38,0.51,0.04,Low
510,40,0.05,0.35,0.31,0.22,0.03,0.14,0.29,0.21,0.25,0.73,0.14,Low
511,55,0.11,0.27,0.28,0.24,0.09,0.31,0.46,0.18,0.5,0.46,0.22,Low
512,39,0.02,0.18,0.23,0.25,0.04,0.37,0.53,0.21,0.73,0.24,0.17,Low
513,6,0.17,0.39,0.4,0.42,0.08,0.17,0.23,0.43,0.26,0.51,0.22,Low
514,40,0.04,0.31,0.35,0.39,0.03,0.21,0.29,0.51,0.26,0.4,0.21,Low
515,42,0.0,0.64,0.61,0.56,0.0,0.07,0.08,0.72,0.14,0.73,0.03,Low
516,34,0.04,0.44,0.46,0.4,0.02,0.37,0.5,0.26,0.3,0.56,0.2,Low
517,5,0.02,0.19,0.21,0.21,0.03,0.39,0.47,0.32,0.41,0.43,0.09,Low
518,8,0.01,0.26,0.28,0.24,0.02,0.42,0.51,0.19,0.53,0.46,0.11,Low
519,19,0.0,0.21,0.25,0.26,0.01,0.21,0.24,0.25,0.04,0.6,0.0,Low
520,12,0.09,0.41,0.41,0.4,0.03,0.17,0.3,0.33,0.17,0.48,0.13,Low
521,25,0.05,0.4,0.41,0.37,0.02,0.36,0.42,0.3,0.45,0.59,0.17,Low
522,39,1.0,0.25,0.28,0.27,0.96,0.19,0.36,0.39,0.36,0.58,0.46,High
523,5,0.0,0.15,0.19,0.26,0.02,0.63,0.61,0.19,0.43,0.46,0.24,Low
524,36,0.03,0.18,0.22,0.19,0.04,0.36,0.55,0.17,0.59,0.27,0.08,Low
525,35,0.6,0.26,0.29,0.3,0.48,0.2,0.26,0.46,0.39,0.55,0.66,High
526,13,0.01,0.12,0.12,0.14,0.04,0.6,0.67,0.27,0.72,0.27,0.25,Low
527,36,0.0,0.19,0.25,0.21,0.02,0.3,0.49,0.18,0.7,0.31,0.07,Low
528,6,0.08,0.38,0.33,0.18,0.06,0.76,0.85,0.08,0.55,0.41,0.56,High
529,44,0.0,0.33,0.35,0.35,0.01,0.49,0.53,0.23,0.3,0.55,0.0,Low
530,34,0.0,0.58,0.59,0.54,0.0,0.25,0.28,0.47,0.18,0.6,0.04,Low
531,8,0.04,0.31,0.31,0.28,0.03,0.21,0.26,0.29,0.29,0.57,0.15,Low
532,39,0.52,0.22,0.25,0.23,0.57,0.29,0.46,0.21,0.67,0.36,0.41,High
533,6,0.02,0.69,0.65,0.5,0.01,0.2,0.27,0.45,0.19,0.68,0.2,Low
534,42,0.0,0.12,0.18,0.19,0.01,0.58,0.68,0.14,0.48,0.21,0.06,Low
535,45,0.01,0.28,0.29,0.3,0.01,0.24,0.34,0.24,0.12,0.64,0.2,Low
536,55,0.02,0.37,0.36,0.3,0.01,0.34,0.33,0.25,0.16,0.64,0.05,Low
537,34,0.0,0.46,0.45,0.37,0.0,0.3,0.37,0.23,0.25,0.62,0.18,Low
538,34,0.01,0.48,0.49,0.43,0.01,0.42,0.52,0.23,0.25,0.49,0.07,Low
539,37,0.01,0.14,0.17,0.2,0.04,0.45,0.52,0.24,0.32,0.38,0.91,High
540,42,0.08,0.44,0.43,0.37,0.03,0.16,0.34,0.34,0.28,0.66,0.15,Low
541,6,0.05,0.65,0.6,0.48,0.02,0.11,0.19,0.42,0.25,0.71,0.13,Low
542,42,0.01,0.4,0.42,0.46,0.01,0.35,0.36,0.45,0.15,0.51,0.03,Low
543,25,0.01,0.69,0.71,0.58,0.0,0.11,0.15,0.53,0.29,0.6,0.05,Low
